"","scen","method","n.rej.mn","n.rej.bt.mn","bt.lo.mn","bt.hi.mn","X","bt.type","n","nX","nY","rho.XX","rho.YY","rho.XY","prop.corr","group"
"1",1,"ours.0.01",0.39,0.399506,0,2,41,"ha.resid",1000,1,40,0,0,0,1,"X-Y correlation: 0 for 100% of pairs"
"2",1,"ours.0.05",1.99,2.001664,0,5.0021,41,"ha.resid",1000,1,40,0,0,0,1,"X-Y correlation: 0 for 100% of pairs"
"3",2,"ours.0.01",0.476,0.39815,0,2,42,"ha.resid",1000,1,40,0,0.1,0,1,"X-Y correlation: 0 for 100% of pairs"
"4",2,"ours.0.05",2.23,1.997714,0,5.56215,42,"ha.resid",1000,1,40,0,0.1,0,1,"X-Y correlation: 0 for 100% of pairs"
"5",3,"ours.0.01",0.424,0.400894,0,2.8929,43,"ha.resid",1000,1,40,0,0.3,0,1,"X-Y correlation: 0 for 100% of pairs"
"6",3,"ours.0.05",2.014,2.00381,0,8.4671,43,"ha.resid",1000,1,40,0,0.3,0,1,"X-Y correlation: 0 for 100% of pairs"
"7",4,"ours.0.01",0.496,0.40148,0,3.97325,44,"ha.resid",1000,1,40,0,0.6,0,1,"X-Y correlation: 0 for 100% of pairs"
"8",4,"ours.0.05",2.262,2.002154,0,14.84815,44,"ha.resid",1000,1,40,0,0.6,0,1,"X-Y correlation: 0 for 100% of pairs"
"9",5,"ours.0.01",0.764,0.39871,0,2,5,"ha.resid",1000,1,40,0,0,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs"
"10",5,"ours.0.05",2.95,1.997268,0,5.0022,5,"ha.resid",1000,1,40,0,0,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs"
"11",6,"ours.0.01",0.754,0.399634,0,2,6,"ha.resid",1000,1,40,0,0.1,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs"
"12",6,"ours.0.05",2.846,1.998966,0,5.56385,6,"ha.resid",1000,1,40,0,0.1,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs"
"13",7,"ours.0.01",0.722,0.400436,0,2.88295,7,"ha.resid",1000,1,40,0,0.3,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs"
"14",7,"ours.0.05",2.806,1.99813,0,8.46105,7,"ha.resid",1000,1,40,0,0.3,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs"
"15",8,"ours.0.01",0.896,0.400188,0,4.0076,8,"ha.resid",1000,1,40,0,0.6,0.03,0.2,"X-Y correlation: 0.03 for 20% of pairs"
