"","scen","method","power","X","bt.type","n","nX","nY","rho.XX","rho.YY","rho.XY","prop.corr","group","method.label"
"1",1,"bonf.naive",0.058,41,"ha.resid",1000,1,40,0,0,0,1,"X-Y correlation: 0 for 100% of pairs","Bonferroni"
"2",1,"holm",0.058,41,"ha.resid",1000,1,40,0,0,0,1,"X-Y correlation: 0 for 100% of pairs","Holm"
"4",1,"minP",0.054,41,"ha.resid",1000,1,40,0,0,0,1,"X-Y correlation: 0 for 100% of pairs","minP"
"5",1,"ours.0.01",0.006,41,"ha.resid",1000,1,40,0,0,0,1,"X-Y correlation: 0 for 100% of pairs","Global (alpha=0.01)"
"6",1,"ours.0.05",0.042,41,"ha.resid",1000,1,40,0,0,0,1,"X-Y correlation: 0 for 100% of pairs","Global (alpha=0.05)"
"7",1,"Romano",0.066,41,"ha.resid",1000,1,40,0,0,0,1,"X-Y correlation: 0 for 100% of pairs","Romano"
"8",1,"Wstep",0.054,41,"ha.resid",1000,1,40,0,0,0,1,"X-Y correlation: 0 for 100% of pairs","Wstep"
"9",2,"bonf.naive",0.054,42,"ha.resid",1000,1,40,0,0.1,0,1,"X-Y correlation: 0 for 100% of pairs","Bonferroni"
"10",2,"holm",0.054,42,"ha.resid",1000,1,40,0,0.1,0,1,"X-Y correlation: 0 for 100% of pairs","Holm"
"12",2,"minP",0.056,42,"ha.resid",1000,1,40,0,0.1,0,1,"X-Y correlation: 0 for 100% of pairs","minP"
"13",2,"ours.0.01",0.026,42,"ha.resid",1000,1,40,0,0.1,0,1,"X-Y correlation: 0 for 100% of pairs","Global (alpha=0.01)"
"14",2,"ours.0.05",0.032,42,"ha.resid",1000,1,40,0,0.1,0,1,"X-Y correlation: 0 for 100% of pairs","Global (alpha=0.05)"
"15",2,"Romano",0.07,42,"ha.resid",1000,1,40,0,0.1,0,1,"X-Y correlation: 0 for 100% of pairs","Romano"
"16",2,"Wstep",0.056,42,"ha.resid",1000,1,40,0,0.1,0,1,"X-Y correlation: 0 for 100% of pairs","Wstep"
"17",3,"bonf.naive",0.038,43,"ha.resid",1000,1,40,0,0.3,0,1,"X-Y correlation: 0 for 100% of pairs","Bonferroni"
"18",3,"holm",0.038,43,"ha.resid",1000,1,40,0,0.3,0,1,"X-Y correlation: 0 for 100% of pairs","Holm"
"20",3,"minP",0.044,43,"ha.resid",1000,1,40,0,0.3,0,1,"X-Y correlation: 0 for 100% of pairs","minP"
"21",3,"ours.0.01",0.024,43,"ha.resid",1000,1,40,0,0.3,0,1,"X-Y correlation: 0 for 100% of pairs","Global (alpha=0.01)"
